"FREE_TEXT_CONDITION_ID","CONDITION","CARDIOLOGY","DERMATOLOGY","ENDOCRINOLOGY","GI_HEPATOLOGY","IMMUNO_RHEUMATOLOGY","INFECTIOUS_DISEASES","NEPHROLOGY","NEUROLOGY","PSYCH_GENERAL","PSYCH_SPECIFIC","ONCOLOGY_GENERAL","ONCOLOGY_SPECIFIC","OTOLARYNGOLOGY","PULMONARY_MEDICINE","REPRODUCTIVE_MEDICINE","PAD","PVD","BONE_GENERAL","BONE_SPECIFIC","DIABETES_GENERAL","DIABETES_SPECIFIC","THYROID_GENERAL","HEPATOLOGY_SPECIFIC"
237,"Recurrent Adult Acute Myeloid Leukemia","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
238,"Recurrent Adult Burkitt Lymphoma","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
239,"Recurrent Marginal Zone Lymphoma","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
240,"Refractory Multiple Myeloma","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
241,"Respiratory Failure","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N"
242,"Small Intestine Cancer","N","N","N","Y","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
243,"Splenic Marginal Zone Lymphoma","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
244,"Systemic Sclerosis","N","y","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
245,"Tobacco Dependence","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N"
246,"Acne","N","y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
247,"Avascular Necrosis","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
248,"Drug Abuse","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N"
249,"Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
250,"Myelofibrosis","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
251,"Postherpetic Neuralgia","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
252,"Recurrent Adult Diffuse Small Cleaved Cell Lymphoma","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
253,"Recurrent Adult Lymphoblastic Lymphoma","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
254,"Recurrent Cutaneous T-cell Non-Hodgkin Lymphoma","N","y","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
255,"Ventilator Associated Pneumonia","N","N","N","N","N","y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N"
256,"Abdominal Aortic Aneurysm","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N"
257,"Acute Respiratory Distress Syndrome","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N"
258,"Adult Acute Myeloid Leukemia With Inv(16)(p13;q22)","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
259,"Adult Acute Myeloid Leukemia With T(8;21)(q22;q22)","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
260,"Anaplastic Astrocytoma","N","N","N","N","N","N","N","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
261,"Bacterial Vaginosis","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N"
262,"Chemotherapeutic Agent Toxicity","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
263,"Congenital Heart Disease","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
264,"Coronary Artery Stenosis","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
265,"De Novo Myelodysplastic Syndromes","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
266,"Functional Dyspepsia","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
267,"General Anesthesia","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
268,"Hip Fracture","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N"
269,"Liver Disease","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
270,"MDS","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
271,"Mild Cognitive Impairment","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
272,"Nonneoplastic Condition","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
273,"Obsessive Compulsive Disorder","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N"
274,"Obstructive Sleep Apnea Syndrome","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N"
275,"Open Angle Glaucoma","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
276,"Prevention","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N"
277,"Recurrent Adult Diffuse Mixed Cell Lymphoma","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
278,"Recurrent Adult Immunoblastic Large Cell Lymphoma","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
279,"Recurrent Small Lymphocytic Lymphoma","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
280,"Solid Cancers","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
281,"Acute Pain","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N"
282,"Adult Acute Myeloid Leukemia With T(15;17)(q22;q12)","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
283,"Advanced Non-Small Cell Lung Cancer","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
284,"Advanced Solid Malignancies","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
285,"Anxiety Disorder","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N"
286,"Brain Metastases","N","N","N","N","N","N","N","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
287,"Cataracts","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
288,"Cognitive Impairment","N","N","N","N","N","N","N","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N"
289,"Meningococcal Disease","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
290,"Methamphetamine Dependence","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N"
291,"Nonalcoholic Steatohepatitis","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
292,"Primary Peritoneal Cancer","N","N","N","Y","N","N","N","N","N","N","Y","Y","N","N","Y","N","N","N","N","N","N","N","N"
293,"Recurrent Mycosis Fungoides/Sezary Syndrome","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
294,"Relapsing Remitting Multiple Sclerosis","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
295,"Small Lymphocytic Lymphoma","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
296,"Acute Lymphocytic Leukemia","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
297,"Advanced Malignancies","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
298,"Anaplastic Large Cell Lymphoma","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
299,"Chronic Constipation","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
300,"Chronic Plaque Psoriasis","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
301,"Contrast Induced Nephropathy","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
302,"Critically Ill","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N"
303,"Endothelial Function","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N"
304,"GERD","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N"
305,"Helicobacter Pylori Infection","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
306,"Malignant Glioma","N","N","N","N","N","N","N","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
307,"Metastatic Renal Cell Carcinoma","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
308,"Non-Small-Cell Lung Cancer","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
309,"Preeclampsia","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N"
310,"Psychosis","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N"
311,"Rotavirus Gastroenteritis","N","N","N","Y","N","y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
312,"Substance Dependence","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N"
313,"Transient Ischemic Attack","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N"
314,"Vascular Disease","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","M","N","N","N","N","N","N"
315,"Adult Acute Myeloid Leukemia With Del(5q)","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
316,"Adult Acute Myeloid Leukemia in Remission","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
317,"Advanced Breast Cancer","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
318,"Angioimmunoblastic T-cell Lymphoma","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
319,"Arrhythmia","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
320,"B-cell Chronic Lymphocytic Leukemia","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
321,"Bipolar I Disorder","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N"
322,"Bone Metastases","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
323,"Brain Tumors","N","N","N","N","N","N","N","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
324,"Burn","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
325,"Chemotherapy","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
326,"Childhood Obesity","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
327,"Diabetic Foot Ulcer","N","N","Y","N","N","Y","N","N","N","N","N","N","N","N","N","M","N","N","N","Y","Y","N","N"
328,"Diabetic Neuropathy","N","N","Y","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N"
329,"Duchenne Muscular Dystrophy","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
330,"Dysphagia","N","N","N","Y","N","N","N","Y","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N"
331,"Falls","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
332,"Gastroesophageal Reflux Disease (GERD)","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N"
333,"Human Immunodeficiency Virus","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
334,"IGA Nephropathy","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
335,"Infection, Human Immunodeficiency Virus","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
336,"Infections","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
337,"Migraine Headache","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
338,"NSCLC","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
339,"Neurotoxicity","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N"
340,"Non-Alcoholic Fatty Liver Disease","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
341,"Non-Hodgkin Lymphoma","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
342,"Pandemic Influenza","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
343,"Peripheral T-Cell Lymphoma","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
344,"Peritoneal Cancer","N","N","N","Y","N","N","N","N","N","N","Y","Y","N","N","Y","N","N","N","N","N","N","N","N"
345,"Post-Traumatic Arthritis","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
346,"Previously Treated Myelodysplastic Syndromes","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
347,"Proliferative Diabetic Retinopathy","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N"
348,"Secondary Myelodysplastic Syndromes","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
349,"Varicella","N","y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
350,"Adult Nasal Type Extranodal NK/T-cell Lymphoma","N","N","N","N","N","N","N","N","N","N","Y","Y","Y","N","N","N","N","N","N","N","N","N","N"
351,"Aplastic Anemia","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
352,"Autism Spectrum Disorder","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N"
353,"Basal Cell Carcinoma","N","y","N","N","N","N","N","N","N","N","Y","Y","Y","N","N","N","N","N","N","N","N","N","N"
354,"Breast Reconstruction","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
355,"Cancer Survivor","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","Y","N","N","N","N","N","N","N","N"
356,"Cardiovascular Risk","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
357,"Chronic Pancreatitis","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
358,"Cognitive Function","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N"
359,"Coronary Atherosclerosis","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
360,"Critical Limb Ischemia","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N"
361,"Dengue Fever","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
362,"Dilated Cardiomyopathy","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
363,"Gestational Diabetes","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y","Y","N","N"
364,"Hematological Malignancies","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
365,"Human Papillomavirus Infection","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N"
366,"Myelodysplasia","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
367,"Opioid Dependency","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N"
368,"Paroxysmal Atrial Fibrillation","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
369,"Periodontal Disease","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N"
370,"Recurrent Adult Hodgkin Lymphoma","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
371,"Ventricular Tachycardia","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
372,"Acute Coronary Syndromes","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
373,"Adult Acute Lymphoblastic Leukemia in Remission","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
374,"Alcohol Consumption","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N"
375,"Anaemia","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
376,"Blastic Phase Chronic Myelogenous Leukemia","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
377,"Breastfeeding","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N"
378,"CML","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
379,"Cardiomyopathy","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
380,"Chronic Fatigue Syndrome","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
381,"Chronic Sinusitis","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N"
382,"Fungal Infection","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
383,"HIV/AIDS","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
384,"Hepatic Impairment","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
385,"Huntington's Disease","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
386,"Insulin Sensitivity","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N"
387,"Intracerebral Hemorrhage","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
388,"Major Depressive Disorder (MDD)","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N"
389,"Nasopharyngeal Carcinoma","N","N","N","N","N","N","N","N","N","N","Y","Y","Y","N","N","N","N","N","N","N","N","N","N"
390,"Obesity Prevention","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
391,"Oral Mucositis","N","y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N"
392,"Recurrent Adult Grade III Lymphomatoid Granulomatosis","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N"
393,"Refractive Error","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
394,"Respiratory Distress Syndrome","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N"
395,"Stage III Adult Diffuse Large Cell Lymphoma","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
396,"Stage IV Adult Diffuse Large Cell Lymphoma","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
397,"Substance Use Disorders","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N"
398,"Sudden Cardiac Death","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
399,"Treatment","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
400,"Tumor","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
401,"Accelerated Phase Chronic Myelogenous Leukemia","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
402,"Actinic Keratoses","N","y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
