condition|pulmonary|transplant|year_verification
major depression|N|N|Both
metastatic melanoma|N|N|Both
substance abuse|N|N|Both
actinic keratosis|N|N|Both
stage iiic breast cancer|N|N|Both
respiratory failure|Y|N|Both
dry eye|N|N|Both
inflammatory bowel disease|N|N|Both
neuropathic pain|N|N|Both
acute myelogenous leukemia|N|N|Both
metastatic cancer|N|N|Both
diffuse large b-cell lymphoma|N|N|Both
plaque psoriasis|N|N|Both
recurrent adult acute myeloid leukemia|N|N|Both
stage iiib breast cancer|N|N|Both
essential hypertension|N|N|Both
seasonal allergic rhinitis|N|N|Both
stage iiia breast cancer|N|N|Both
gastroesophageal reflux disease|N|N|Both
adhd|N|N|Both
chronic heart failure|N|N|Both
osteoarthritis of the knee|N|N|Both
post-traumatic stress disorder|N|N|Both
alcohol abuse|N|N|Both
peripheral artery disease|N|N|Both
benign prostatic hyperplasia|N|N|Both
generalized anxiety disorder|N|N|Both
human immunodeficiency virus|N|N|Both
cocaine dependence|N|N|Both
small cell lung cancer|N|N|Both
prediabetes|N|N|Both
mantle cell lymphoma|N|N|Both
trauma|N|N|Both
childhood obesity|N|N|Both
end-stage renal disease|N|N|Both
endothelial dysfunction|N|N|Both
heart disease|N|N|Both
ischemic heart disease|N|N|Both
sleep apnea|Y|N|Both
follicular lymphoma|N|N|Both
malignant melanoma|N|N|Both
recurrent mantle cell lymphoma|N|N|Both
hodgkin lymphoma|N|N|Both
renal impairment|N|N|Both
iron deficiency|N|N|Both
nasopharyngeal carcinoma|N|N|Both
infection, human immunodeficiency virus|N|N|Both
children|N|N|Both
open-angle glaucoma|N|N|Both
cigarette smoking|N|N|Both
elderly|N|N|Both
peripheral vascular disease|N|N|Both
stage iv non-small cell lung cancer|N|N|New only
cardiac surgery|N|N|Both
obese|N|N|Both
congenital heart disease|N|N|Both
nsclc|N|N|Both
diabetic nephropathy|N|N|Both
recurrent small lymphocytic lymphoma|N|N|Both
acute respiratory distress syndrome|Y|N|Both
adult acute myeloid leukemia with 11q23 (mll) abnormalities|N|N|Both
brain metastases|N|N|Both
cerebrovascular accident|N|N|Both
renal failure|N|N|Both
adult acute myeloid leukemia with t(16;16)(p13;q22)|N|N|Both
bleeding|N|N|Both
duchenne muscular dystrophy|N|N|Both
dysphagia|N|N|Both
brain tumor|N|N|Both
kidney cancer|N|N|Both
small lymphocytic lymphoma|N|N|Both
total knee arthroplasty|N|N|Both
adult acute myeloid leukemia with inv(16)(p13;q22)|N|N|Both
adult acute myeloid leukemia with t(8;21)(q22;q22)|N|N|Both
advanced cancers|N|N|Both
chronic myelogenous leukemia|N|N|Both
chronic myeloid leukemia|N|N|Both
critical limb ischemia|N|N|Both
dietary modification|N|N|New only
non-hodgkin lymphoma|N|N|Both
severe sepsis|Y|N|Both
psychosis|N|N|Both
uterine fibroids|N|N|Both
cognitive impairment|N|N|Both
diabetic foot ulcer|N|N|Both
hepatic impairment|N|N|Both
recurrent breast cancer|N|N|Both
hematologic malignancies|N|N|Both
aids|N|N|Both
allergy|N|N|Both
ankylosing spondylitis|N|N|Both
recurrent grade 1 follicular lymphoma|N|N|Both
recurrent grade 2 follicular lymphoma|N|N|Both
sleep disorders|Y|N|New only
soft tissue sarcoma|N|N|Both
squamous cell carcinoma of the head and neck|N|N|Both
stress urinary incontinence|N|N|Both
recurrent adult diffuse large cell lymphoma|N|N|Both
iron deficiency anemia|N|N|Both
post-operative pain|N|N|Both
stage iv prostate cancer|N|N|Both
adult acute myeloid leukemia with del(5q)|N|N|Both
autism spectrum disorders|N|N|Both
chronic myelomonocytic leukemia|N|N|Both
head and neck squamous cell carcinoma|N|N|Both
helicobacter pylori infection|N|N|Both
hepatitis c virus|N|N|Both
inguinal hernia|N|N|Both
myeloma|N|N|Both
pancreatic adenocarcinoma|N|N|Both
preterm birth|N|N|Both
psoriasis vulgaris|N|N|Both
recurrent grade 3 follicular lymphoma|N|N|Both
refractive error|N|N|Both
refractory chronic lymphocytic leukemia|N|N|Both
hemodialysis|N|N|Both
recurrent marginal zone lymphoma|N|N|Both
stage ii breast cancer|N|N|Both
tobacco dependence|N|N|Both
untreated adult acute myeloid leukemia|N|N|Both
graft versus host disease|N|N|Both
hip fracture|N|N|Both
impaired glucose tolerance|N|N|Both
paroxysmal atrial fibrillation|N|N|Both
peripheral t-cell lymphoma|N|N|Both
recurrent ovarian carcinoma|N|N|New only
secondary acute myeloid leukemia|N|N|Both
stable angina|N|N|Both
urinary tract infection|N|N|Both
diabetic foot ulcers|N|N|Both
malignant glioma|N|N|Both
overweight and obesity|N|N|Both
psoriatic arthritis|N|N|Both
recurrent adult acute lymphoblastic leukemia|N|N|Both
stage iiib non-small cell lung cancer|N|N|New only
surgical site infection|N|N|Both
bipolar depression|N|N|Both
deep vein thrombosis|N|N|Both
dry eye syndrome|N|N|Both
insulin sensitivity|N|N|Both
pertussis|Y|N|Both
allergic conjunctivitis|N|N|Both
brain cancer|N|N|Both
general anesthesia|N|N|Both
myelofibrosis|N|N|Both
pre-diabetes|N|N|Both
preeclampsia|N|N|Both
recurrent melanoma|N|N|New only
splenic marginal zone lymphoma|N|N|Both
thyroid cancer|N|N|Both
acne|N|N|Both
adenocarcinoma of the prostate|N|N|Both
anxiety disorder|N|N|Both
depressive symptoms|N|N|Both
metastatic pancreatic cancer|N|N|Both
osteopenia|N|N|Both
accidental falls|N|N|New only
chronic renal failure|N|N|Both
liver metastases|N|N|Both
peripheral neuropathy|N|N|Both
substance use|N|N|Both
hiv/aids|N|N|Both
tumors|N|N|Both
aortic stenosis|N|N|Both
recurrent breast carcinoma|N|N|New only
stage iiia non-small cell lung cancer|N|N|New only
acute respiratory failure|Y|N|Both
epithelial ovarian cancer|N|N|Both
gestational diabetes|N|N|Both
squamous cell carcinoma|N|N|Both
stage ib breast cancer|N|N|New only
cardiomyopathy|N|N|Both
hemiparesis|N|N|Both
her2/neu negative|N|N|New only
hodgkin's lymphoma|N|N|Both
liver disease|N|N|Both
metastatic renal cell carcinoma|N|N|Both
nodal marginal zone b-cell lymphoma|N|N|Both
systemic sclerosis|N|N|Both
anaplastic astrocytoma|N|N|Both
extranodal marginal zone b-cell lymphoma of mucosa-associated lymphoid tissue|N|N|Both
kidney disease|N|N|Both
opioid dependence|N|N|Both
recurrent prostate cancer|N|N|Both
relapsing-remitting multiple sclerosis|N|N|Both
alcohol use disorder|N|N|New only
clostridium difficile infection|N|N|New only
critically ill|Y|N|Both
malignant neoplasm|N|N|New only
respiratory distress syndrome|Y|N|Both
stage ia breast cancer|N|N|New only
acute myeloid leukemia (aml)|N|N|Both
breastfeeding|N|N|Both
obsessive compulsive disorder|N|N|Both
obstructive sleep apnea syndrome|Y|N|Both
recurrent adult burkitt lymphoma|N|N|Both
sedation|N|N|Both
acute lymphocytic leukemia|N|N|Both
brain and central nervous system tumors|N|N|Both
brain injury|N|N|Both
gestational diabetes mellitus|N|N|Both
myelodysplastic syndrome (mds)|N|N|Both
prematurity|N|N|Both
recurrent primary peritoneal carcinoma|N|N|New only
wounds|N|N|Both
age related macular degeneration|N|N|Both
bacterial vaginosis|N|N|Both
child|N|N|New only
recurrent fallopian tube carcinoma|N|N|New only
social anxiety disorder|N|N|Both
alcohol consumption|N|N|Both
recurrent adult lymphoblastic lymphoma|N|N|Both
stage iv melanoma|N|N|Both
triple negative breast cancer|N|N|Both
breast carcinoma|N|N|Both
degenerative disc disease|N|N|Both
hepatitis c virus infection|N|N|Both
primary open angle glaucoma|N|N|Both
stage iv pancreatic cancer|N|N|New only
anaemia|N|N|Both
androgenetic alopecia|N|N|Both
barrett's esophagus|N|N|Both
colorectal carcinoma|N|N|Both
drug abuse|N|N|Both
multiple myeloma and plasma cell neoplasm|N|N|Both
open angle glaucoma|N|N|Both
peritoneal cancer|N|N|Both
portal hypertension|N|N|Both
recurrent adult diffuse small cleaved cell lymphoma|N|N|Both
recurrent adult hodgkin lymphoma|N|N|Both
angioimmunoblastic t-cell lymphoma|N|N|Both
refractory multiple myeloma|N|N|Both
sunscreening agents|N|N|New only
anaplastic large cell lymphoma|N|N|Both
congenital bleeding disorder|N|N|New only
functional dyspepsia|N|N|Both
healthy participants|N|N|New only
neoplasm|N|N|Both
non-small-cell lung cancer|N|N|Both
post operative pain|N|N|Both
post traumatic stress disorder|N|N|Both
recurrent adult diffuse mixed cell lymphoma|N|N|Both
recurrent cutaneous t-cell non-hodgkin lymphoma|N|N|Both
skin cancer|N|N|Both
stage iv renal cell cancer|N|N|Both
substance use disorders|N|N|Both
abdominal aortic aneurysm|N|N|Both
adult acute myeloid leukemia in remission|N|N|Both
adult acute myeloid leukemia with t(15;17)(q22;q12)|N|N|Both
adult glioblastoma|N|N|Both
aml|N|N|Both
complications|N|N|Both
diabetes type 2|N|N|Both
gastric adenocarcinoma|N|N|New only
huntington's disease|N|N|Both
juvenile idiopathic arthritis|N|N|Both
mds|N|N|Both
periodontal disease|N|N|Both
ventricular tachycardia|N|N|Both
chemotherapy-induced nausea and vomiting|N|N|Both
chronic hepatitis c infection|N|N|Both
estrogen receptor negative|N|N|New only
persistent atrial fibrillation|N|N|Both
proliferative diabetic retinopathy|N|N|Both
recurrent mycosis fungoides/sezary syndrome|N|N|Both
relapsing remitting multiple sclerosis|N|N|Both
renal transplantation|Y|Y|Both
secondary hyperparathyroidism|N|N|Both
aplastic anemia|N|N|Both
cataracts|N|N|Both
hormone-resistant prostate cancer|N|N|New only
recurrent non-small cell lung cancer|N|N|New only
recurrent non-small cell lung carcinoma|N|N|New only
rotator cuff tear|N|N|Both
vascular disease|N|N|Both
acute ischemic stroke|N|N|Both
postpartum depression|N|N|Both
acute leukemia|N|N|Both
adult nasal type extranodal nk/t-cell lymphoma|N|N|Both
migraine headache|N|N|Both
recurrent adult grade iii lymphomatoid granulomatosis|N|N|Both
recurrent adult immunoblastic large cell lymphoma|N|N|Both
sickle cell anemia|N|N|Both
stage iia breast cancer|N|N|New only
biliary tract cancer|N|N|Both
bone metastases|N|N|Both
esophageal squamous cell carcinoma|N|N|New only
gastrointestinal cancer|N|N|Both
meningococcal disease|N|N|Both
metastatic pancreatic adenocarcinoma|N|N|New only
non-small cell lung cancer (nsclc)|N|N|Both
primary peritoneal carcinoma|N|N|Both
stage iib breast cancer|N|N|New only
acute stroke|N|N|Both
adult gliosarcoma|N|N|Both
binge eating disorder|N|N|Both
breast neoplasm|N|N|Both
cancer survivor|N|N|Both
hip osteoarthritis|N|N|Both
interstitial lung disease|Y|N|Both
opiate dependence|N|N|Both
oral mucositis|N|N|Both
precancerous condition|N|N|Both
primary peritoneal cancer|N|N|Both
waldenstrm macroglobulinemia|N|N|New only
basal cell carcinoma|N|N|Both
chronic pancreatitis|N|N|Both
dengue fever|N|N|Both
kidney failure|N|N|New only
methamphetamine dependence|N|N|Both
non-squamous non-small cell lung cancer|N|N|New only
perennial allergic rhinitis|N|N|Both
progesterone receptor negative|N|N|New only
schizophreniform disorder|N|N|Both
unstable angina|N|N|Both
adult giant cell glioblastoma|N|N|Both
bioavailability|N|N|Both
cutaneous b-cell non-hodgkin lymphoma|N|N|Both
eating disorders|N|N|New only
gerd|N|N|Both
hodgkin's disease|N|N|Both
male breast cancer|N|N|Both
safety|N|N|New only
social phobia|N|N|Both
spasticity|N|N|Both
transient ischemic attack|N|N|Both
urothelial carcinoma|N|N|New only
acute coronary syndromes|N|N|Both
aged|N|N|New only
arrhythmia|N|N|Both
attention deficit hyperactivity disorder (adhd)|N|N|New only
bipolar i disorder|N|N|Both
growth hormone deficiency|N|N|Both
hematological malignancies|N|N|Both
hepatosplenic t-cell lymphoma|N|N|Both
japanese encephalitis|N|N|Both
malignant pleural mesothelioma|N|N|Both
metastasis|N|N|Both
postherpetic neuralgia|N|N|Both
recurrent adult t-cell leukemia/lymphoma|N|N|Both
solid tumours|N|N|New only
advanced solid tumor|N|N|Both
cardiovascular risk factors|N|N|Both
interstitial cystitis|N|N|Both
meningococcal meningitis|N|N|Both
ovarian carcinoma|N|N|Both
prostate adenocarcinoma|N|N|New only
stage iii pancreatic cancer|N|N|New only
wrinkles|N|N|New only
adenocarcinoma of the gastroesophageal junction|N|N|Both
adult acute myeloblastic leukemia without maturation (m1)|N|N|New only
adult erythroleukemia (m6a)|N|N|Both
adult pure erythroid leukemia (m6b)|N|N|Both
anaesthesia|N|N|Both
b-cell chronic lymphocytic leukemia|N|N|Both
chronic fatigue syndrome|N|N|Both
endotracheal intubation|Y|N|Both
haemophilus influenzae type b|N|N|Both
healthy adults|N|N|Both
in vitro fertilization|N|N|Both
intracerebral hemorrhage|N|N|Both
mechanical ventilation|Y|N|Both
recurrent childhood acute myeloid leukemia|N|N|Both
refractory hairy cell leukemia|N|N|Both
addiction|N|N|New only
adult acute lymphoblastic leukemia in remission|N|N|Both
adult acute monoblastic leukemia (m5a)|N|N|Both
adult acute monocytic leukemia (m5b)|N|N|Both
adult acute myeloblastic leukemia with maturation (m2)|N|N|New only
adult acute myelomonocytic leukemia (m4)|N|N|New only
agitation|N|N|Both
blood loss|N|N|New only
brain tumors|N|N|Both
chronic sinusitis|N|N|Both
cognitive function|N|N|Both
coronary artery stenosis|N|N|Both
previously treated myelodysplastic syndromes|N|N|Both
primary insomnia|N|N|Both
prolymphocytic leukemia|N|N|Both
recurrent rectal cancer|N|N|Both
sexual dysfunction|N|N|Both
stage iii prostate cancer|N|N|Both
stage iv ovarian cancer|N|N|New only
subfertility|N|N|Both
triple-negative breast carcinoma|N|N|New only
acellular pertussis|N|N|New only
adult acute megakaryoblastic leukemia (m7)|N|N|Both
allergic rhinoconjunctivitis|N|N|Both
chronic liver disease|N|N|Both
complications; cesarean section|N|N|New only
diabetic neuropathy|N|N|Both
estrogen receptor positive|N|N|New only
haemophilia a|N|N|Both
high blood pressure|N|N|Both
idiopathic parkinson's disease|N|N|Both
infections|N|N|Both
infections, streptococcal|N|N|New only
kidney transplant|Y|Y|Both
postoperative ileus|N|N|Both
recurrent prostate carcinoma|N|N|New only
scleroderma|N|N|Both
sexually transmitted infections|N|N|Both
stage iib prostate cancer|N|N|New only
violence|N|N|New only
acute heart failure|N|N|Both
acute pancreatitis|N|N|Both
advanced gastric cancer|N|N|Both
caries|N|N|New only
chronic lymphocytic leukemia (cll)|N|N|Both
clostridium difficile|N|N|New only
colorectal cancer metastatic|N|N|New only
diffuse large b cell lymphoma|N|N|New only
dilated cardiomyopathy|N|N|Both
hiv-1|N|N|New only
iga nephropathy|N|N|Both
neovascular age-related macular degeneration|N|N|New only
nonalcoholic steatohepatitis|N|N|Both
pancreas cancer|N|N|Both
plantar fasciitis|N|N|Both
postmenopausal osteoporosis|N|N|Both
recurrent colon cancer|N|N|Both
sleep disordered breathing|Y|N|Both
stage iv skin melanoma|N|N|New only
stroke, acute|N|N|Both
total knee replacement|N|N|Both
treatment resistant depression|N|N|Both
triple-negative breast cancer|N|N|New only
acute renal failure|N|N|Both
ankle sprain|N|N|Both
concussion|N|N|New only
distal radius fracture|N|N|New only
human papillomavirus|N|N|New only
nafld|N|N|New only
necrotizing enterocolitis|N|N|Both
peanut allergy|N|N|Both
preterm infants|N|N|Both
psychological stress|N|N|New only
stage i prostate cancer|N|N|Both
stage iia prostate cancer|N|N|New only
stage iii chronic lymphocytic leukemia|N|N|Both
stage iii mantle cell lymphoma|N|N|Both
stage iv mantle cell lymphoma|N|N|Both
type ii diabetes mellitus|N|N|Both
ventilator associated pneumonia|Y|N|Both
abdominal obesity|N|N|Both
achalasia|N|N|New only
attention-deficit/hyperactivity disorder|N|N|Both
avascular necrosis|N|N|Both
chronic migraine|N|N|Both
clear cell renal cell carcinoma|N|N|Both
colorectal surgery|N|N|New only
de novo myelodysplastic syndromes|N|N|Both
diabetes mellitus, non-insulin-dependent|N|N|Both
fracture|N|N|Both
hypoxemia|Y|N|Both
neuropathy|N|N|Both
pressure ulcers|N|N|Both
primary biliary cirrhosis|N|N|Both
pulmonary tuberculosis|Y|N|Both
stage iv chronic lymphocytic leukemia|N|N|Both
adult solid neoplasm|N|N|New only
advanced solid malignancies|N|N|Both
arterial hypertension|N|N|Both
endothelial function|N|N|Both
foot ulcer, diabetic|N|N|Both
graft-versus-host disease|N|N|Both
immune thrombocytopenia|N|N|New only
ischemic cardiomyopathy|N|N|Both
kidney stones|N|N|Both
lumbar spinal stenosis|N|N|Both
pcos|N|N|Both
polycystic ovarian syndrome|N|N|Both
refractory plasma cell myeloma|N|N|New only
small intestine lymphoma|N|N|Both
stage iii grade 1 follicular lymphoma|N|N|Both
stage iii grade 2 follicular lymphoma|N|N|Both
stage iii grade 3 follicular lymphoma|N|N|Both
stage iii multiple myeloma|N|N|Both
stage iv grade 1 follicular lymphoma|N|N|Both
stage iv grade 2 follicular lymphoma|N|N|Both
stage iv grade 3 follicular lymphoma|N|N|Both
substance use disorder|N|N|New only
testicular lymphoma|N|N|Both
tumor|N|N|Both
unspecified childhood solid tumor, protocol specific|N|N|Both
acute otitis media|N|N|Both
adult acute minimally differentiated myeloid leukemia (m0)|N|N|New only
atelectasis|Y|N|Both
breast reconstruction|N|N|Both
deep venous thrombosis|N|N|Both
diabetes mellitus, type ii|N|N|Both
domestic violence|N|N|New only
ductal breast carcinoma in situ|N|N|New only
gastrointestinal stromal tumor|N|N|Both
lung disease|Y|N|Both
nonalcoholic fatty liver disease|N|N|Both
pulmonary disease|Y|N|New only
stage i multiple myeloma|N|N|Both
stage ii multiple myeloma|N|N|Both
stage iii adult diffuse large cell lymphoma|N|N|Both
stage iv adult diffuse large cell lymphoma|N|N|Both
tetraplegia|N|N|Both
tobacco smoking|N|N|Both
uterine cancer|N|N|Both
diabetes mellitus type 1|N|N|New only
food allergy|N|N|Both
functional constipation|N|N|New only
hepatitis c infection|N|N|Both
intubation; difficult|Y|N|New only
lymphomas|N|N|Both
mood|N|N|Both
phenylketonuria|N|N|Both
postoperative cognitive dysfunction|N|N|Both
recurrent adult brain tumor|N|N|Both
stage iv small lymphocytic lymphoma|N|N|Both
substance dependence|N|N|Both
uveal melanoma|N|N|Both
ventilator-associated pneumonia|Y|N|New only
allergic asthma|Y|N|Both
bone loss|N|N|Both
cancer of head and neck|N|N|New only
carcinoma, squamous cell of head and neck|N|N|New only
chronic constipation|N|N|Both
chronic renal insufficiency|N|N|Both
diabetic peripheral neuropathy|N|N|Both
drug safety|N|N|New only
drug use|N|N|New only
dry eye disease|N|N|Both
hcv infection|N|N|Both
human immunodeficiency virus (hiv)|N|N|Both
pancreatic ductal adenocarcinoma|N|N|New only
phantom limb pain|N|N|Both
post-transplant lymphoproliferative disorder|Y|Y|Both
recurrent childhood acute lymphoblastic leukemia|N|N|Both
recurrent plasma cell myeloma|N|N|New only
stage iii renal cell cancer|N|N|New only
stage iii small lymphocytic lymphoma|N|N|Both
total hip arthroplasty|N|N|New only
alcohol use|N|N|New only
angina|N|N|Both
aortic valve disease|N|N|Both
bronchial asthma|Y|N|Both
chronic insomnia|N|N|Both
community acquired pneumonia|Y|N|Both
hemodynamic instability|N|N|New only
hepatocellular cancer|N|N|Both
hiv prevention|N|N|Both
infant, newborn|N|N|New only
infant, premature|N|N|New only
non-small cell lung cancer metastatic|N|N|New only
plasmodium falciparum malaria|N|N|Both
recurrent adult soft tissue sarcoma|N|N|New only
relapsing chronic myelogenous leukemia|N|N|Both
spinal muscular atrophy|N|N|New only
stage iiic ovarian cancer|N|N|New only
sunscreening agent|N|N|New only
thoracic surgery|N|N|New only
actinic keratoses|N|N|Both
alcohol use disorders|N|N|New only
anaplastic oligodendroglioma|N|N|Both
b-cell lymphoma|N|N|Both
central retinal vein occlusion|N|N|Both
chemotherapy|N|N|Both
coronary atherosclerosis|N|N|Both
dengue hemorrhagic fever|N|N|New only
diastolic heart failure|N|N|Both
ewing sarcoma|N|N|New only
fungal infection|N|N|Both
hereditary angioedema|N|N|Both
liver metastasis|N|N|Both
mechanical ventilation complication|Y|N|New only
mental health wellness 1|N|N|New only
non-alcoholic steatohepatitis|N|N|New only
oropharyngeal cancer|N|N|Both
patent ductus arteriosus|N|N|Both
peritoneal carcinomatosis|N|N|New only
primary sclerosing cholangitis|N|N|Both
renal cancer|N|N|Both
satisfaction|N|N|New only
scar|N|N|New only
severe aplastic anemia|N|N|New only
stemi|N|N|New only
stomach cancer|N|N|Both
unipolar depression|N|N|Both
acute lymphoblastic leukemia (all)|N|N|New only
advanced hepatocellular carcinoma|N|N|Both
anal cancer|N|N|Both
bacterial infection|N|N|Both
burn|N|N|Both
cannabis dependence|N|N|Both
cutaneous leishmaniasis|N|N|Both
falls|N|N|Both
hematologic malignancy|N|N|New only
liver fibrosis|N|N|Both
lymphoblastic lymphoma|N|N|Both
marginal zone lymphoma|N|N|Both
metabolism and nutrition disorder|N|N|New only
mild traumatic brain injury|N|N|Both
non-small-cell lung carcinoma|N|N|Both
obesity prevention|N|N|Both
opioid use disorder|N|N|New only
ovarian endometrioid adenocarcinoma|N|N|New only
partial edentulism|N|N|New only
recurrent pancreatic cancer|N|N|New only
renal transplant|Y|Y|Both
tongue cancer|N|N|New only
type ii diabetes|N|N|Both
varicella|N|N|Both
ventral hernia|N|N|Both
accelerated phase chronic myelogenous leukemia|N|N|Both
amyotrophic lateral sclerosis (als)|N|N|New only
bariatric surgery candidate|N|N|New only
bowel preparation|N|N|Both
chronic idiopathic constipation|N|N|New only
chronic myeloproliferative disorders|N|N|Both
chronic rhinosinusitis|N|N|Both
drug addiction|N|N|Both
end stage renal failure on dialysis|N|N|New only
fallopian tube carcinoma|N|N|New only
frail elderly|N|N|New only
hcc|N|N|New only
hematopoietic/lymphoid cancer|N|N|Both
her2-negative breast cancer|N|N|New only
her2-positive breast cancer|N|N|New only
infant, small for gestational age|N|N|New only
infections, meningococcal|N|N|New only
infections, papillomavirus|N|N|New only
malignancy|N|N|Both
meibomian gland dysfunction|N|N|New only
melanoma (skin)|N|N|Both
myelodysplastic/myeloproliferative neoplasms|N|N|Both
non-small cell lung carcinoma|N|N|New only
oncology|N|N|Both
opiate addiction|N|N|Both
plasma cell myeloma|N|N|New only
pompe disease|N|N|New only
radiation toxicity|N|N|Both
recurrent ovarian epithelial cancer|N|N|Both
secondary myelodysplastic syndromes|N|N|Both
st-elevation myocardial infarction|N|N|Both
stage iiia ovarian cancer|N|N|New only
stage iiib ovarian cancer|N|N|New only
stage iv adult soft tissue sarcoma|N|N|New only
stage iva colon cancer|N|N|New only
stage ivb colon cancer|N|N|New only
t-cell large granular lymphocyte leukemia|N|N|New only
treatment|N|N|Both
adherence|N|N|New only
adult anaplastic oligodendroglioma|N|N|Both
advanced malignancies|N|N|Both
benign prostate hyperplasia|N|N|New only
cardiac arrhythmia|N|N|New only
chronic bronchitis|Y|N|Both
cocaine addiction|N|N|Both
drug dependence|N|N|Both
essential thrombocythemia|N|N|Both
gallbladder cancer|N|N|Both
her-2 positive breast cancer|N|N|New only
incontinence|N|N|Both
infant, very low birth weight|N|N|New only
male infertility|N|N|New only
malignant solid tumour|N|N|New only
metastatic prostate cancer|N|N|Both
methicillin-resistant staphylococcus aureus|N|N|Both
mood disorder|N|N|Both
non-hodgkins lymphoma|N|N|Both
orthostatic hypotension|N|N|Both
pediatrics|N|N|New only
posttraumatic stress disorder (ptsd)|N|N|Both
prevention|N|N|Both
previously treated myelodysplastic syndrome|N|N|New only
progressive supranuclear palsy|N|N|Both
psychosocial effects of cancer and its treatment|N|N|Both
renal cell cancer|N|N|Both
renal failure chronic requiring hemodialysis|N|N|New only
scars|N|N|Both
sleep apnea syndrome|N|N|Both
spinal anesthesia|N|N|Both
stage iii adult lymphoblastic lymphoma|N|N|Both
stage iv adult lymphoblastic lymphoma|N|N|Both
stage iv fallopian tube cancer|N|N|New only
stage iva rectal cancer|N|N|New only
sudden cardiac death|N|N|Both
acute decompensated heart failure|N|N|Both
adenocarcinoma of the pancreas|N|N|New only
adult anaplastic astrocytoma|N|N|Both
blastic phase chronic myelogenous leukemia|N|N|Both
body fat disorder|N|N|New only
brain metastasis|N|N|New only
chemotherapeutic agent toxicity|N|N|Both
chronic phase chronic myelogenous leukemia|N|N|Both
colorectal neoplasm|N|N|Both
dental pain|N|N|Both
diabetic kidney disease|N|N|New only
effects of chemotherapy|N|N|New only
fractures|N|N|Both
gastroesophageal junction adenocarcinoma|N|N|New only
gastroesophageal reflux disease (gerd)|N|N|Both
heart valve disease|N|N|Both
human papillomavirus infection|N|N|Both
hypovitaminosis d|N|N|Both
idiopathic thrombocytopenic purpura|N|N|Both
infections, bacterial|N|N|New only
lower back pain|N|N|Both
