mesh_id|mesh_term|pulmonary|transplant|year_verification
C01.252.400.126.100.800|trench fever|N|N|Both
C01.252.400.143|bordetella infections|N|N|Both
C01.252.400.143.740|whooping cough|N|N|Both
C01.252.400.155|borrelia infections|N|N|Both
C01.252.400.155.569|lyme disease|N|N|Both
C01.252.400.155.569.200|erythema chronicum migrans|N|N|Both
C01.252.400.155.569.600|lyme neuroborreliosis|N|N|Both
C01.252.400.155.644|relapsing fever|N|N|Both
C01.252.400.167|brucellosis|N|N|Both
C01.252.400.167.322|brucellosis, bovine|N|N|Both
C01.252.400.170|burkholderia infections|N|N|Both
C01.252.400.170.400|glanders|N|N|Both
C01.252.400.170.531|melioidosis|N|N|Both
C01.252.400.177|campylobacter infections|N|N|Both
C01.252.400.200|cat-scratch disease|N|N|Both
C01.252.400.210|chlamydiaceae infections|N|N|Both
C01.252.400.210.210|chlamydia infections|N|N|Both
C01.252.400.210.210.124|chlamydial pneumonia|N|N|New only
C01.252.400.210.210.250|conjunctivitis, inclusion|N|N|Both
C01.252.400.210.210.490|lymphogranuloma venereum|N|N|Both
C01.252.400.210.210.800|trachoma|N|N|Both
C01.252.400.210.250|chlamydophila infections|N|N|Both
C01.252.400.210.250.299|chlamydial pneumonia|N|N|New only
C01.252.400.210.250.600|psittacosis|N|N|Both
C01.252.400.245|cytophagaceae infections|N|N|New only
C01.252.400.260|desulfovibrionaceae infections|N|N|Both
C01.252.400.310|enterobacteriaceae infections|N|N|Both
C01.252.400.310.229|dysentery, bacillary|N|N|Both
C01.252.400.310.330|escherichia coli infections|N|N|Both
C01.252.400.310.330.500|meningitis, escherichia coli|N|N|Both
C01.252.400.310.416|granuloma inguinale|N|N|Both
C01.252.400.310.503|klebsiella infections|N|N|Both
C01.252.400.310.503.650|rhinoscleroma|N|N|Both
C01.252.400.310.708|proteus infections|N|N|Both
C01.252.400.310.821|salmonella infections|N|N|Both
C01.252.400.310.821.438|paratyphoid fever|N|N|Both
C01.252.400.310.821.606|salmonella food poisoning|N|N|Both
C01.252.400.310.821.706|salmonella infections, animal|N|N|Both
C01.252.400.310.821.873|typhoid fever|N|N|Both
C01.252.400.310.850|serratia infections|N|N|Both
C01.252.400.310.980|yersinia infections|N|N|Both
C01.252.400.310.980.745|plague|N|N|Both
C01.252.400.310.980.780|yersinia pseudotuberculosis infections|N|N|Both
C01.252.400.349|flavobacteriaceae infections|N|N|Both
C01.252.400.368|flexibacteraceae infections|N|N|Old only
C01.252.400.388|fusobacteriaceae infections|N|N|Both
C01.252.400.388.350|fusobacterium infections|N|N|Both
C01.252.400.388.350.400|gingivitis, necrotizing ulcerative|N|N|Both
C01.252.400.388.350.700|lemierre syndrome|N|N|New only
C01.252.400.388.750|rat-bite fever|N|N|Old only
C01.252.400.466|helicobacter infections|N|N|Both
C01.252.400.500|legionellosis|N|N|Both
C01.252.400.500.501|legionnaires' disease|N|N|Both
C01.252.400.511|leptospirosis|N|N|Both
C01.252.400.511.739|weil disease|N|N|Both
C01.252.400.560|moraxellaceae infections|N|N|Both
C01.252.400.560.022|acinetobacter infections|N|N|Both
C01.252.400.610|mycoplasmatales infections|N|N|Both
C01.252.400.610.610|mycoplasma infections|N|N|Both
C01.252.400.610.610.717|pleuropneumonia, contagious|N|N|Both
C01.252.400.610.610.760|pneumonia, mycoplasma|N|N|Both
C01.252.400.610.850|ureaplasma infections|N|N|Both
C01.252.400.625|neisseriaceae infections|N|N|Both
C01.252.400.625.391|gonorrhea|N|N|Both
C01.252.400.625.391.658|ophthalmia neonatorum|N|N|Both
C01.252.400.625.549|meningococcal infections|N|N|Both
C01.252.400.625.549.449|meningitis, meningococcal|N|N|Both
C01.252.400.625.549.449.800|waterhouse-friderichsen syndrome|N|N|Both
C01.252.400.700|pasteurellaceae infections|N|N|Both
C01.252.400.700.030|actinobacillus infections|N|N|Both
C01.252.400.700.030.178|actinobacillosis|N|N|Both
C01.252.400.700.433|haemophilus infections|N|N|Both
C01.252.400.700.433.257|chancroid|N|N|Both
C01.252.400.700.433.615|meningitis, haemophilus|N|N|Both
C01.252.400.700.662|pasteurella infections|N|N|Both
C01.252.400.700.662.297|hemorrhagic septicemia|Y|N|Both
C01.252.400.700.675|pasteurellosis, pneumonic|N|N|Both
C01.252.400.719|piscirickettsiaceae infections|N|N|Both
C01.252.400.739|pseudomonas infections|N|N|Both
C01.252.400.755|q fever|N|N|Both
C01.252.400.771|rat-bite fever|N|N|Both
C01.252.400.780|rickettsiaceae infections|N|N|Both
C01.252.400.780.600|pneumonia, rickettsial|N|N|Both
C01.252.400.780.790|rickettsia infections|N|N|Both
C01.252.400.780.790.125|boutonneuse fever|N|N|Both
C01.252.400.780.790.700|rocky mountain spotted fever|N|N|Both
C01.252.400.780.790.800|typhus, endemic flea-borne|N|N|Both
C01.252.400.780.790.805|typhus, epidemic louse-borne|N|N|Both
C01.252.400.780.850|scrub typhus|N|N|Both
C01.252.400.825|tick-borne diseases|N|N|Both
C01.252.400.825.050|anaplasmosis|N|N|Both
C01.252.400.825.125|boutonneuse fever|N|N|Both
C01.252.400.825.200|ehrlichiosis|N|N|Both
C01.252.400.825.300|heartwater disease|N|N|Both
C01.252.400.825.480|lyme disease|N|N|Both
C01.252.400.825.480.400|erythema chronicum migrans|N|N|Both
C01.252.400.825.480.700|lyme neuroborreliosis|N|N|Both
C01.252.400.825.750|relapsing fever|N|N|Both
C01.252.400.825.775|rocky mountain spotted fever|N|N|Both
C01.252.400.825.900|tularemia|N|N|Old only
C01.252.400.840|treponemal infections|N|N|Both
C01.252.400.840.558|pinta|N|N|Both
C01.252.400.840.744|syphilis|N|N|Both
C01.252.400.840.744.161|chancre|N|N|Both
C01.252.400.840.744.456|neurosyphilis|N|N|Both
C01.252.400.840.744.456.778|tabes dorsalis|N|N|Both
C01.252.400.840.744.657|syphilis, cardiovascular|N|N|Both
C01.252.400.840.744.725|syphilis, congenital|N|N|Both
C01.252.400.840.744.800|syphilis, cutaneous|N|N|Both
C01.252.400.840.744.871|syphilis, latent|N|N|Both
C01.252.400.840.892|yaws|N|N|Both
C01.252.400.939|tularemia|N|N|Both
C01.252.400.959|vibrio infections|N|N|Both
C01.252.400.959.347|cholera|N|N|Both
C01.252.410|gram-positive bacterial infections|N|N|Both
C01.252.410.040|actinomycetales infections|N|N|Both
C01.252.410.040.137|actinomycosis|N|N|Both
C01.252.410.040.137.262|actinomycosis, cervicofacial|N|N|Both
C01.252.410.040.137.631|whipple disease|N|N|Both
C01.252.410.040.246|corynebacterium infections|N|N|Both
C01.252.410.040.246.388|diphtheria|N|N|Both
C01.252.410.040.246.430|erythrasma|N|N|Both
C01.252.410.040.552|mycobacterium infections|N|N|Both
C01.252.410.040.552.386|leprosy|N|N|Both
C01.252.410.040.552.386.775|leprosy, multibacillary|N|N|Both
C01.252.410.040.552.386.775.500|leprosy, lepromatous|N|N|Both
C01.252.410.040.552.386.850|leprosy, paucibacillary|N|N|Both
C01.252.410.040.552.386.850.249|leprosy, borderline|N|N|Both
C01.252.410.040.552.386.850.500|leprosy, tuberculoid|N|N|Both
C01.252.410.040.552.475|mycobacterium infections, atypical|N|N|Old only
C01.252.410.040.552.475|mycobacterium infections, nontuberculous|N|N|New only
C01.252.410.040.552.475.247|buruli ulcer|N|N|Both
C01.252.410.040.552.475.495|mycobacterium avium-intracellulare infection|N|N|Both
C01.252.410.040.552.588|paratuberculosis|N|N|Both
C01.252.410.040.552.846|tuberculosis|N|N|Both
C01.252.410.040.552.846.122|latent tuberculosis|N|N|Both
C01.252.410.040.552.846.246|peritonitis, tuberculous|N|N|Both
C01.252.410.040.552.846.493|tuberculoma|N|N|Both
C01.252.410.040.552.846.493.400|tuberculoma, intracranial|N|N|Both
C01.252.410.040.552.846.516|tuberculosis, avian|N|N|Both
C01.252.410.040.552.846.538|tuberculosis, bovine|N|N|Both
C01.252.410.040.552.846.561|tuberculosis, cardiovascular|N|N|Both
C01.252.410.040.552.846.561.595|pericarditis, tuberculous|N|N|Both
C01.252.410.040.552.846.570|tuberculosis, central nervous system|N|N|Both
C01.252.410.040.552.846.570.300|tuberculoma, intracranial|N|N|Both
C01.252.410.040.552.846.570.600|tuberculosis, meningeal|N|N|Both
C01.252.410.040.552.846.583|tuberculosis, cutaneous|N|N|Both
C01.252.410.040.552.846.583.260|erythema induratum|N|N|Both
C01.252.410.040.552.846.583.470|lupus vulgaris|N|N|Both
C01.252.410.040.552.846.606|tuberculosis, endocrine|N|N|Both
C01.252.410.040.552.846.628|tuberculosis, gastrointestinal|N|N|Both
C01.252.410.040.552.846.651|tuberculosis, hepatic|N|N|Both
C01.252.410.040.552.846.696|tuberculosis, laryngeal|N|N|Both
C01.252.410.040.552.846.719|tuberculosis, lymph node|N|N|Both
C01.252.410.040.552.846.719.500|king's evil|N|N|Both
C01.252.410.040.552.846.764|tuberculosis, miliary|N|N|Both
C01.252.410.040.552.846.775|tuberculosis, multidrug-resistant|N|N|Both
C01.252.410.040.552.846.775.500|extensively drug-resistant tuberculosis|N|N|Both
C01.252.410.040.552.846.786|tuberculosis, ocular|N|N|Both
C01.252.410.040.552.846.809|tuberculosis, oral|N|N|Both
C01.252.410.040.552.846.831|tuberculosis, osteoarticular|N|N|Both
C01.252.410.040.552.846.831.722|tuberculosis, spinal|N|N|Both
C01.252.410.040.552.846.877|tuberculosis, pleural|Y|N|Both
C01.252.410.040.552.846.877.405|empyema, tuberculous|Y|N|Both
C01.252.410.040.552.846.899|tuberculosis, pulmonary|N|N|Both
C01.252.410.040.552.846.899.669|silicotuberculosis|N|N|Both
C01.252.410.040.552.846.922|tuberculosis, splenic|N|N|Both
C01.252.410.040.552.846.944|tuberculosis, urogenital|N|N|Both
C01.252.410.040.552.846.944.596|tuberculosis, female genital|N|N|Both
C01.252.410.040.552.846.944.721|tuberculosis, male genital|N|N|Both
C01.252.410.040.552.846.944.847|tuberculosis, renal|N|N|Both
C01.252.410.040.692|nocardia infections|N|N|Both
C01.252.410.040.692.606|mycetoma|N|N|Both
C01.252.410.090|bacillaceae infections|N|N|Both
C01.252.410.090.072|anthrax|N|N|Both
C01.252.410.110|bifidobacteriales infections|N|N|Both
C01.252.410.222|clostridium infections|N|N|Both
C01.252.410.222.151|botulism|N|N|Both
C01.252.410.222.310|enterocolitis, pseudomembranous|N|N|Both
C01.252.410.222.325|enterotoxemia|N|N|Both
C01.252.410.222.440|gas gangrene|N|N|Both
C01.252.410.222.864|tetanus|N|N|Both
C01.252.410.334|erysipelothrix infections|N|N|Both
C01.252.410.334.329|erysipeloid|N|N|Both
C01.252.410.334.776|swine erysipelas|N|N|Both
C01.252.410.514|listeria infections|N|N|Old only
C01.252.410.514|listeriosis|N|N|New only
C01.252.410.514.533|meningitis, listeria|N|N|Both
C01.252.410.868|staphylococcal infections|N|N|Both
C01.252.410.868.675|pneumonia, staphylococcal|N|N|Both
C01.252.410.868.806|staphylococcal food poisoning|N|N|Both
C01.252.410.868.820|staphylococcal skin infections|N|N|Both
C01.252.410.868.820.270|furunculosis|N|N|Both
C01.252.410.868.820.270.200|carbuncle|N|N|Both
C01.252.410.868.820.504|impetigo|N|N|Both
C01.252.410.868.820.770|staphylococcal scalded skin syndrome|N|N|Both
C01.252.410.890|streptococcal infections|N|N|Both
C01.252.410.890.210|ecthyma|N|N|Both
C01.252.410.890.240|endocarditis, subacute bacterial|N|N|Both
C01.252.410.890.328|erysipelas|N|N|Both
C01.252.410.890.485|impetigo|N|N|Both
C01.252.410.890.670|pneumococcal infections|N|N|Both
C01.252.410.890.670.595|meningitis, pneumococcal|N|N|Both
C01.252.410.890.670.750|pneumonia, pneumococcal|N|N|Both
C01.252.410.890.731|rheumatic fever|N|N|Both
C01.252.410.890.731.649|rheumatic heart disease|N|N|Both
C01.252.410.890.823|scarlet fever|N|N|Both
C01.252.620|pneumonia, bacterial|N|N|Both
C01.252.620.249|chlamydial pneumonia|N|N|New only
C01.252.620.500|pneumonia, mycoplasma|N|N|Both
C01.252.620.530|pneumonia of calves, enzootic|N|N|Both
C01.252.620.540|pneumonia of swine, mycoplasmal|N|N|Both
C01.252.620.550|pneumonia, pneumococcal|N|N|Both
C01.252.620.600|pneumonia, rickettsial|N|N|Both
C01.252.620.620|pneumonia, staphylococcal|N|N|Both
C01.252.810|sexually transmitted diseases, bacterial|N|N|Both
C01.252.810.201|chancroid|N|N|Both
C01.252.810.301|chlamydia infections|N|N|Both
C01.252.810.301.490|lymphogranuloma venereum|N|N|Both
C01.252.810.401|gonorrhea|N|N|Both
C01.252.810.451|granuloma inguinale|N|N|Both
C01.252.810.859|syphilis|N|N|Both
C01.252.825|skin diseases, bacterial|N|N|Both
C01.252.825.110|actinomycosis, cervicofacial|N|N|Both
C01.252.825.150|angiomatosis, bacillary|N|N|Both
C01.252.825.180|digital dermatitis|N|N|New only
C01.252.825.210|ecthyma|N|N|Both
C01.252.825.260|erysipelas|N|N|Both
C01.252.825.310|erythema chronicum migrans|N|N|Both
C01.252.825.320|erythrasma|N|N|Both
C01.252.825.340|fasciitis, necrotizing|N|N|Both
C01.252.825.360|granuloma inguinale|N|N|Both
C01.252.825.420|hidradenitis suppurativa|N|N|Both
C01.252.825.557|mycetoma|N|N|Both
C01.252.825.630|pinta|N|N|Both
C01.252.825.705|rhinoscleroma|N|N|Both
C01.252.825.770|staphylococcal skin infections|N|N|Both
C01.252.825.770.270|furunculosis|N|N|Both
C01.252.825.770.270.200|carbuncle|N|N|Both
C01.252.825.770.360|impetigo|N|N|Both
C01.252.825.770.770|staphylococcal scalded skin syndrome|N|N|Both
C01.252.825.790|syphilis, cutaneous|N|N|Both
C01.252.825.820|tuberculosis, cutaneous|N|N|Both
C01.252.825.820.260|erythema induratum|N|N|Both
C01.252.825.820.470|lupus vulgaris|N|N|Both
C01.252.825.910|yaws|N|N|Both
C01.252.847|spirochaetales infections|N|N|Both
C01.252.847.193|borrelia infections|N|N|Both
C01.252.847.193.569|lyme disease|N|N|Both
C01.252.847.193.569.200|erythema chronicum migrans|N|N|Both
C01.252.847.193.569.600|lyme neuroborreliosis|N|N|Both
C01.252.847.193.644|relapsing fever|N|N|Both
C01.252.847.511|leptospirosis|N|N|Both
C01.252.847.511.739|weil disease|N|N|Both
C01.252.847.840|treponemal infections|N|N|Both
C01.252.847.840.558|pinta|N|N|Both
C01.252.847.840.744|syphilis|N|N|Both
C01.252.847.840.744.161|chancre|N|N|Both
C01.252.847.840.744.456|neurosyphilis|N|N|Both
C01.252.847.840.744.456.778|tabes dorsalis|N|N|Both
C01.252.847.840.744.657|syphilis, cardiovascular|N|N|Both
C01.252.847.840.744.725|syphilis, congenital|N|N|Both
C01.252.847.840.744.800|syphilis, cutaneous|N|N|Both
C01.252.847.840.744.871|syphilis, latent|N|N|Both
C01.252.847.840.892|yaws|N|N|Both
C01.252.954|vaginosis, bacterial|N|N|Both
C01.323|brain abscess|N|N|Old only
C01.323.800|toxoplasmosis, cerebral|N|N|Old only
C01.395|central nervous system infections|N|N|Both
C01.395.250|brain abscess|N|N|New only
C01.395.250.500|toxoplasmosis, cerebral|N|N|New only
C01.395.500|central nervous system bacterial infections|N|N|Both
C01.395.750|empyema, subdural|N|N|Old only
C01.539|infection|N|N|Both
C01.539.069|aneurysm, infected|N|N|Both
C01.539.100|arthritis, infectious|N|N|Both
C01.539.100.500|arthritis, reactive|N|N|Both
C01.539.160|bone diseases, infectious|N|N|Both
C01.539.160.412|osteitis|N|N|Old only
C01.539.160.495|osteomyelitis|N|N|Both
C01.539.160.495.500|mastoiditis|N|N|New only
C01.539.160.495.750|petrositis|N|N|New only
C01.539.160.495.875|pott puffy tumor|N|N|New only
C01.539.160.595|periostitis|N|N|Both
C01.539.160.762|spondylitis|N|N|Both
C01.539.160.762.301|discitis|N|N|Both
C01.539.160.886|tuberculosis, osteoarticular|N|N|Both
C01.539.160.886.722|tuberculosis, spinal|N|N|Both
C01.539.190|cardiovascular infections|N|N|Both
C01.539.190.249|endocarditis, bacterial|N|N|Both
C01.539.190.249.407|endocarditis, subacute bacterial|N|N|Both
C01.539.190.500|syphilis, cardiovascular|N|N|Both
C01.539.190.750|tuberculosis, cardiovascular|N|N|Both
C01.539.190.750.595|pericarditis, tuberculous|N|N|Both
C01.539.195|catheter-related infections|N|N|Both
C01.539.218|coinfection|N|N|New only
C01.539.221|communicable diseases|N|N|Both
C01.539.221.500|communicable diseases, emerging|N|N|Both
C01.539.221.750|waterborne diseases|N|N|New only
C01.539.234|community-acquired infections|N|N|Both
C01.539.248|cross infection|N|N|Both
C01.539.248.500|pneumonia, ventilator-associated|N|N|Both
C01.539.375|eye infections|N|N|Both
C01.539.375.177|corneal ulcer|N|N|Both
C01.539.375.265|endophthalmitis|N|N|New only
C01.539.375.265.500|uveitis, suppurative|N|N|New only
C01.539.375.354|eye infections, bacterial|N|N|Both
C01.539.375.354.220|conjunctivitis, bacterial|N|N|Both
C01.539.375.354.220.250|conjunctivitis, inclusion|N|N|Both
C01.539.375.354.220.625|ophthalmia neonatorum|N|N|Both
C01.539.375.354.220.800|trachoma|N|N|Both
C01.539.375.354.400|hordeolum|N|N|Both
C01.539.375.354.450|keratoconjunctivitis, infectious|N|N|Both
C01.539.375.354.800|tuberculosis, ocular|N|N|Both
C01.539.375.354.900|uveitis, suppurative|N|N|Both
C01.539.375.354.900.350|endophthalmitis|N|N|Old only
C01.539.375.354.900.675|panophthalmitis|N|N|Both
C01.539.375.450|eye infections, fungal|N|N|Both
C01.539.375.450.900|uveitis, suppurative|N|N|Both
C01.539.375.450.900.350|endophthalmitis|N|N|Old only
C01.539.375.450.900.675|panophthalmitis|N|N|Both
C01.539.392|focal infection|N|N|Both
C01.539.392.433|focal infection, dental|N|N|Both
C01.539.424|gingivitis, necrotizing ulcerative|N|N|Both
C01.539.463|intraabdominal infections|N|N|New only
C01.539.463.099|appendicitis|N|N|New only
C01.539.463.298|diverticulitis|N|N|New only
C01.539.463.600|peritonitis|N|N|New only
C01.539.463.600.249|peritonitis, tuberculous|N|N|New only
C01.539.463.600.500|subphrenic abscess|N|N|New only
C01.539.463.850|typhlitis|N|N|New only
C01.539.503|laboratory infection|N|N|Both
C01.539.535|ludwig's angina|N|N|Both
C01.539.597|opportunistic infections|N|N|Both
C01.539.597.050|aids-related opportunistic infections|N|N|Both
C01.539.597.880|superinfection|N|N|Both
C01.539.635|pelvic infection|N|N|Both
C01.539.635.500|pelvic inflammatory disease|N|N|Both
C01.539.674|pregnancy complications, infectious|N|N|Both
C01.539.674.173|abortion, septic|N|N|Both
C01.539.674.715|puerperal infection|N|N|Both
C01.539.685|prosthesis-related infections|N|N|Both
C01.539.730|reproductive tract infections|N|N|New only
C01.539.739|respiratory tract infections|N|N|Both
C01.539.739.484|empyema, pleural|Y|N|Both
C01.539.739.484.320|empyema, tuberculous|Y|N|Both
C01.539.739.969|whooping cough|N|N|Both
C01.539.757|sepsis|Y|N|Both
C01.539.757.100|bacteremia|Y|N|Both
C01.539.757.100.275|endotoxemia|Y|N|Both
C01.539.757.100.375|hemorrhagic septicemia|Y|N|Both
C01.539.757.360|fungemia|Y|N|Both
C01.539.757.360.150|candidemia|Y|N|New only
C01.539.757.580|neonatal sepsis|Y|N|New only
C01.539.757.800|shock, septic|Y|N|Both
C01.539.778|sexually transmitted diseases|N|N|Both
C01.539.778.281|sexually transmitted diseases, bacterial|N|N|Both
C01.539.778.281.201|chancroid|N|N|Both
C01.539.778.281.301|chlamydia infections|N|N|Both
C01.539.778.281.301.490|lymphogranuloma venereum|N|N|Both
C01.539.778.281.401|gonorrhea|N|N|Both
C01.539.778.281.451|granuloma inguinale|N|N|Both
C01.539.778.281.859|syphilis|N|N|Both
C01.539.800|skin diseases, infectious|N|N|Both
C01.539.800.130|cellulitis|N|N|Both
C01.539.800.200|dermatomycoses|N|N|Both
C01.539.800.200.055|blastomycosis|N|N|Both
C01.539.800.200.100|candidiasis, chronic mucocutaneous|N|N|Both
C01.539.800.200.105|candidiasis, cutaneous|N|N|Both
C01.539.800.200.110|chromoblastomycosis|N|N|Both
C01.539.800.200.383|hyalohyphomycosis|N|N|New only
C01.539.800.200.383.125|alternariosis|N|N|New only
C01.539.800.200.383.375|cerebral phaeohyphomycosis|N|N|New only
C01.539.800.200.383.500|fusariosis|N|N|New only
C01.539.800.200.475|lobomycosis|N|N|New only
C01.539.800.200.500|mycetoma|N|N|Both
C01.539.800.200.600|paracoccidioidomycosis|N|N|Old only
C01.539.800.200.675|sporotrichosis|N|N|Both
C01.539.800.200.720|tinea|N|N|Both
C01.539.800.200.720.550|onychomycosis|N|N|Both
C01.539.800.200.720.730|tinea capitis|N|N|Both
C01.539.800.200.720.730.740|tinea favosa|N|N|Both
C01.539.800.200.720.760|tinea pedis|N|N|Both
C01.539.800.200.860|tinea versicolor|N|N|Both
C01.539.800.460|paronychia|N|N|Both
C01.539.800.720|skin diseases, bacterial|N|N|Both
C01.539.800.720.110|actinomycosis, cervicofacial|N|N|Both
C01.539.800.720.150|angiomatosis, bacillary|N|N|Both
C01.539.800.720.180|digital dermatitis|N|N|New only
C01.539.800.720.210|ecthyma|N|N|Both
C01.539.800.720.260|erysipelas|N|N|Both
C01.539.800.720.310|erythema chronicum migrans|N|N|Both
C01.539.800.720.320|erythrasma|N|N|Both
C01.539.800.720.360|granuloma inguinale|N|N|Both
C01.539.800.720.420|hidradenitis suppurativa|N|N|Both
C01.539.800.720.557|mycetoma|N|N|Both
C01.539.800.720.630|pinta|N|N|Both
C01.539.800.720.705|rhinoscleroma|N|N|Both
C01.539.800.720.770|staphylococcal skin infections|N|N|Both
C01.539.800.720.770.270|furunculosis|N|N|Both
C01.539.800.720.770.270.200|carbuncle|N|N|Both
C01.539.800.720.770.360|impetigo|N|N|Both
C01.539.800.720.770.770|staphylococcal scalded skin syndrome|N|N|Both
C01.539.800.720.790|syphilis, cutaneous|N|N|Both
C01.539.800.720.820|tuberculosis, cutaneous|N|N|Both
C01.539.800.720.820.260|erythema induratum|N|N|Both
C01.539.800.720.820.470|lupus vulgaris|N|N|Both
C01.539.800.720.910|yaws|N|N|Both
C01.539.820|soft tissue infections|N|N|Both
C01.539.830|suppuration|N|N|Both
C01.539.830.025|abscess|N|N|Both
C01.539.830.025.020|abdominal abscess|N|N|Both
C01.539.830.025.020.455|liver abscess|N|N|Both
C01.539.830.025.020.455.460|liver abscess, amebic|N|N|Both
C01.539.830.025.020.455.730|liver abscess, pyogenic|N|N|Both
C01.539.830.025.020.810|subphrenic abscess|N|N|Both
C01.539.830.025.160|brain abscess|N|N|Both
C01.539.830.025.160.800|toxoplasmosis, cerebral|N|N|Both
C01.539.830.025.325|epidural abscess|N|N|Both
C01.539.830.025.490|lung abscess|N|N|Both
C01.539.830.025.650|periapical abscess|N|N|Both
C01.539.830.025.665|periodontal abscess|N|N|Both
C01.539.830.025.675|peritonsillar abscess|N|N|Both
C01.539.830.025.700|psoas abscess|N|N|Both
C01.539.830.025.780|retropharyngeal abscess|N|N|Both
C01.539.830.200|cellulitis|N|N|Both
C01.539.830.305|empyema|Y|N|Both
C01.539.830.305.310|empyema, pleural|Y|N|Both
C01.539.830.305.310.320|empyema, tuberculous|Y|N|Both
C01.539.830.305.330|empyema, subdural|N|N|Both
C01.539.830.499|hidradenitis suppurativa|N|N|Both
C01.539.830.694|otitis media, suppurative|N|N|Both
C01.539.830.767|pyomyositis|N|N|Both
C01.539.830.840|thyroiditis, suppurative|N|N|Both
C01.539.830.900|uveitis, suppurative|N|N|Both
C01.539.861|toxemia|Y|N|Both
C01.539.861.375|endotoxemia|Y|N|Both
C01.539.895|urinary tract infections|N|N|Both
C01.539.895.219|bacteriuria|N|N|Both
C01.539.895.719|pyuria|N|N|Both
C01.539.895.775|schistosomiasis haematobia|N|N|Both
C01.539.947|wound infection|N|N|Both
C01.539.947.692|surgical wound infection|N|N|Both
C01.703|mycoses|N|N|Both
C01.703.078|aspergillosis|N|N|Old only
C01.703.078.074|aspergillosis, allergic bronchopulmonary|Y|N|Old only
C01.703.078.537|neuroaspergillosis|N|N|Old only
C01.703.080|aspergillosis|N|N|New only
C01.703.080.074|aspergillosis, allergic bronchopulmonary|Y|N|New only
C01.703.080.537|neuroaspergillosis|N|N|New only
C01.703.080.768|pulmonary aspergillosis|Y|N|New only
C01.703.080.768.500|aspergillosis, allergic bronchopulmonary|Y|N|New only
C01.703.080.768.750|invasive pulmonary aspergillosis|Y|N|New only
C01.703.128|blastomycosis|N|N|Old only
C01.703.160|candidiasis|N|N|Both
C01.703.160.165|candidiasis, chronic mucocutaneous|N|N|Both
C01.703.160.170|candidiasis, cutaneous|N|N|Both
C01.703.160.175|candidiasis, invasive|N|N|New only
C01.703.160.175.150|candidemia|N|N|New only
C01.703.160.180|candidiasis, oral|N|N|Both
C01.703.160.190|candidiasis, vulvovaginal|N|N|Both
C01.703.181|central nervous system fungal infections|N|N|Both
C01.703.181.500|meningitis, fungal|N|N|Both
C01.703.181.500.500|meningitis, cryptococcal|N|N|Both
C01.703.203|coccidioidomycosis|N|N|Both
C01.703.248|cryptococcosis|N|N|Both
C01.703.248.290|meningitis, cryptococcal|N|N|Both
C01.703.295|dermatomycoses|N|N|Both
C01.703.295.055|blastomycosis|N|N|Both
C01.703.295.165|candidiasis, chronic mucocutaneous|N|N|Both
C01.703.295.170|candidiasis, cutaneous|N|N|Both
